event,is_goal,period,time,distance,angle,is_rebound,is_pass_before,is_cross_line,is_one_touch,is_fast_attack
Shot Attempt - Blocked,FALSE,3,949,17.9,5.928695546,FALSE,FALSE,FALSE,FALSE,FALSE
Shot Attempt - Blocked,FALSE,1,519.8,10,70.46334506,FALSE,FALSE,FALSE,FALSE,FALSE
Shot Attempt - Blocked,FALSE,2,926.8,11.1,62.71579271,FALSE,FALSE,FALSE,TRUE,FALSE
Shot Attempt - Deflected,FALSE,1,599.2,11.9,57.14427805,FALSE,FALSE,FALSE,FALSE,FALSE
Shot Attempt - Deflected,FALSE,1,383.9,18.5,51.08233669,FALSE,FALSE,FALSE,FALSE,FALSE
Shot Attempt - Blocked,FALSE,2,619.7,11.6,47.6195488,FALSE,FALSE,FALSE,FALSE,FALSE
Shot Attempt - Wide left,FALSE,3,534.4,15.8,40.51539399,FALSE,FALSE,FALSE,FALSE,FALSE
Shot Attempt - Wide left,FALSE,3,69.7,14.8,53.70222379,FALSE,FALSE,FALSE,TRUE,FALSE
Shot Attempt - Blocked,FALSE,1,244.7,18.1,67.77818877,FALSE,FALSE,FALSE,FALSE,FALSE
Shot Attempt - Blocked,FALSE,1,394.2,23.1,53.39292519,FALSE,FALSE,FALSE,FALSE,FALSE
Shot Attempt - Wide right,FALSE,1,683.8,17.8,39.26463567,FALSE,FALSE,FALSE,FALSE,FALSE
Shot Attempt - Wide right,FALSE,3,43.4,17.5,59.91584344,FALSE,FALSE,FALSE,FALSE,FALSE
Shot Attempt - Lower left,FALSE,3,268.1,25.5,65.92000549,FALSE,FALSE,FALSE,FALSE,TRUE
Shot Attempt - Deflected,FALSE,3,353.1,20.7,53.30567621,FALSE,FALSE,FALSE,FALSE,FALSE
Shot Attempt - Upper right,FALSE,3,839.1,14.6,89.60756929,FALSE,FALSE,TRUE,FALSE,FALSE
Shot Attempt - Blocked,FALSE,1,145.3,16.3,72.79342741,FALSE,FALSE,FALSE,FALSE,FALSE
Shot Attempt - Blocked,FALSE,1,158.4,15.2,83.2021175,FALSE,TRUE,FALSE,TRUE,FALSE
Shot Attempt - Blocked,FALSE,1,252.7,7.7,77.22875744,FALSE,FALSE,TRUE,TRUE,FALSE
Shot Attempt - Blocked,FALSE,1,299.6,19.6,58.98611594,FALSE,FALSE,FALSE,FALSE,FALSE
Shot Attempt - Blocked,FALSE,1,342.1,24.8,76.97080519,FALSE,FALSE,FALSE,FALSE,TRUE
Shot Attempt - Over the net,FALSE,1,539.5,20.7,56.84826624,FALSE,FALSE,FALSE,FALSE,FALSE
Shot Attempt - Blocked,FALSE,1,755.7,16.9,70.91888557,FALSE,TRUE,TRUE,TRUE,FALSE
Shot Attempt - Blocked,FALSE,1,918.5,11.5,57.83560949,FALSE,FALSE,FALSE,FALSE,FALSE
Shot Attempt - Upper right,TRUE,1,1126.9,3.7,80.78897346,FALSE,TRUE,FALSE,TRUE,FALSE
Shot Attempt - Over the net,FALSE,2,264.7,13.3,43.4845921,FALSE,FALSE,FALSE,FALSE,TRUE
Shot Attempt - Upper left,TRUE,2,332.6,6.4,88.18169704,FALSE,TRUE,TRUE,TRUE,FALSE
Shot Attempt - Blocked,FALSE,2,893,17.8,63.00416161,FALSE,FALSE,FALSE,FALSE,FALSE
Shot Attempt - Blocked,FALSE,2,960.8,10.8,62.48799738,FALSE,FALSE,FALSE,TRUE,FALSE
Shot Attempt - Blocked,FALSE,3,241.5,7.3,46.66833745,FALSE,FALSE,FALSE,FALSE,FALSE
Shot Attempt - Blocked,FALSE,3,289.2,17.3,52.99747347,FALSE,FALSE,FALSE,FALSE,TRUE
Shot Attempt - Blocked,FALSE,3,565.6,5.2,74.35775354,FALSE,FALSE,FALSE,FALSE,FALSE
Shot Attempt - Blocked,FALSE,3,685,15.9,84.96806578,FALSE,FALSE,TRUE,FALSE,TRUE
Shot Attempt - Blocked,FALSE,3,766.4,16.9,73.91542434,FALSE,TRUE,TRUE,TRUE,FALSE
Shot Attempt - Blocked,FALSE,2,884.3,14.3,52.53506372,FALSE,FALSE,FALSE,FALSE,FALSE
Shot Attempt - Blocked,FALSE,1,36.7,10.9,48.36646066,FALSE,FALSE,FALSE,FALSE,FALSE
Shot Attempt - Blocked,FALSE,1,80.5,13.5,85.7321067,FALSE,FALSE,FALSE,FALSE,TRUE
Shot Attempt - Over the net,FALSE,1,176,6.1,55.0079798,FALSE,FALSE,FALSE,FALSE,TRUE
Shot Attempt - Blocked,FALSE,1,193.5,16.7,62.04903097,FALSE,FALSE,FALSE,FALSE,FALSE
Shot Attempt - Blocked,FALSE,1,396.5,15.2,80.53767779,FALSE,FALSE,FALSE,FALSE,FALSE
Shot Attempt - Blocked,FALSE,1,879.4,12.1,51.04409216,FALSE,TRUE,FALSE,TRUE,FALSE
Shot Attempt - Blocked,FALSE,1,1095.6,17,69.01079906,FALSE,TRUE,TRUE,TRUE,FALSE
Shot Attempt - Bottom middle,TRUE,2,308.8,4.4,61.07357416,TRUE,FALSE,FALSE,TRUE,FALSE
Shot Attempt - Wide right,FALSE,2,318.4,11.1,49.00780454,FALSE,FALSE,FALSE,FALSE,FALSE
Shot Attempt - Lower right,TRUE,2,416.6,2,14.74356284,FALSE,FALSE,FALSE,FALSE,FALSE
Shot Attempt - Lower right,TRUE,2,674,1.7,10.0079798,FALSE,FALSE,TRUE,FALSE,TRUE
Shot Attempt - Blocked,FALSE,2,728.9,17.2,79.93400897,FALSE,TRUE,FALSE,TRUE,TRUE
Shot Attempt - Upper right,FALSE,2,908.8,12.7,74.4274564,FALSE,FALSE,FALSE,FALSE,TRUE
Shot Attempt - Upper left,TRUE,2,946.3,1.4,61.69924423,TRUE,FALSE,FALSE,TRUE,FALSE
Shot Attempt - Blocked,FALSE,2,1078.4,19.9,59.18429425,FALSE,FALSE,FALSE,FALSE,FALSE
Shot Attempt - Wide right,FALSE,2,1160.5,18.9,71.56505118,FALSE,FALSE,FALSE,FALSE,FALSE
Shot Attempt - Blocked,FALSE,2,1184.9,16.6,57.26477373,FALSE,FALSE,FALSE,FALSE,TRUE
Shot Attempt - Top middle,TRUE,2,1187.9,1.1,84.80557109,TRUE,FALSE,FALSE,TRUE,FALSE
Shot Attempt - Blocked,FALSE,3,279.1,17.6,89.02346196,FALSE,FALSE,FALSE,FALSE,TRUE
